AUC,Classifier,Distribution
0.5701160694578593,RandomForestClassifier,"[2499, 3149, 5241]"
0.506649982930977,RandomForestClassifier,"[664, 1068, 5241]"
0.5381207313718326,RandomForestClassifier,"[549, 3351, 5241]"
0.5725130690975471,RandomForestClassifier,"[2075, 2416, 5241]"
0.5796168372187784,RandomForestClassifier,"[1592, 3403, 5241]"
0.5532108303504957,RandomForestClassifier,"[550, 3137, 5241]"
0.5701077399709578,RandomForestClassifier,"[2236, 3274, 5241]"
0.5685593152618409,RandomForestClassifier,"[1939, 2587, 5241]"
0.544186541332287,RandomForestClassifier,"[1506, 2264, 5241]"
0.5760537472506478,RandomForestClassifier,"[1440, 3040, 5241]"
0.569649544910124,RandomForestClassifier,"[1748, 2844, 5241]"
0.5226806962289563,RandomForestClassifier,"[1161, 1829, 5241]"
0.5736335611263434,RandomForestClassifier,"[1584, 2987, 5241]"
0.5447315962654157,RandomForestClassifier,"[601, 2462, 5241]"
0.5705235948584924,RandomForestClassifier,"[1142, 2937, 5241]"
0.5831859128093567,RandomForestClassifier,"[1840, 3241, 5241]"
0.5435394750827335,RandomForestClassifier,"[1102, 2537, 5241]"
0.5729823514168876,RandomForestClassifier,"[2389, 2992, 5241]"
0.5638558458301859,RandomForestClassifier,"[597, 2908, 5241]"
0.5665595495562793,RandomForestClassifier,"[1833, 2437, 5241]"
